+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| Period | Period Start               | Period End                 | Max             | Min             | Avg             | Sum            | Count | Duration | Duration Start             | Duration End               |
+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| 360    | 2018-08-10T13:16:17.365000 | 2018-08-10T13:22:17.365000 | 22.8182367124   | 18.8956363677   | 21.1767766828   | 211.767766828  | 10    | 278.22   | 2018-08-10T13:16:17.379000 | 2018-08-10T13:20:55.599000 |
| 360    | 2018-08-10T13:22:17.365000 | 2018-08-10T13:28:17.365000 | 21.9432974192   | 17.8660413767   | 20.0163514312   | 220.179865743  | 11    | 359.997  | 2018-08-10T13:22:17.366000 | 2018-08-10T13:28:17.363000 |
| 360    | 2018-08-10T13:28:17.365000 | 2018-08-10T13:34:17.365000 | 26.8155570346   | 19.9753575765   | 23.2854559008   | 162.998191305  | 7     | 221.502  | 2018-08-10T13:29:14.117000 | 2018-08-10T13:32:55.619000 |
| 360    | 2018-08-10T13:34:17.365000 | 2018-08-10T13:40:17.365000 | 25.6656234667   | 20.1534503368   | 23.4016406108   | 187.213124887  | 8     | 278.249  | 2018-08-10T13:34:17.374000 | 2018-08-10T13:38:55.623000 |
| 360    | 2018-08-10T13:40:17.365000 | 2018-08-10T13:46:17.365000 | 23.0279173395   | 18.9750747483   | 21.7532828875   | 174.0262631    | 8     | 278.248  | 2018-08-10T13:40:17.376000 | 2018-08-10T13:44:55.624000 |
| 360    | 2018-08-10T13:46:17.365000 | 2018-08-10T13:52:17.365000 | 21.891517452    | 17.7530908348   | 20.3881766427   | 163.105413142  | 8     | 278.199  | 2018-08-10T13:46:17.379000 | 2018-08-10T13:50:55.578000 |
| 360    | 2018-08-10T13:52:17.365000 | 2018-08-10T13:58:17.365000 | 22.508515972    | 17.2956093037   | 20.71883258     | 145.03182806   | 7     | 236.715  | 2018-08-10T13:52:17.382000 | 2018-08-10T13:56:14.097000 |
| 360    | 2018-08-10T13:58:17.365000 | 2018-08-10T14:04:17.365000 | 26.832810151    | 25.9922216693   | 26.4759536236   | 158.855721742  | 6     | 236.728  | 2018-08-10T13:58:17.377000 | 2018-08-10T14:02:14.105000 |
| 360    | 2018-08-10T14:04:17.365000 | 2018-08-10T14:10:17.365000 | 25.6630525137   | 23.6954481305   | 24.5805865103   | 147.483519062  | 6     | 236.717  | 2018-08-10T14:04:17.377000 | 2018-08-10T14:08:14.094000 |
| 360    | 2018-08-10T14:10:17.365000 | 2018-08-10T14:16:17.365000 | 19.1245995506   | 17.4924894263   | 17.9430818128   | 107.658490877  | 6     | 236.711  | 2018-08-10T14:10:17.379000 | 2018-08-10T14:14:14.090000 |
| 360    | 2018-08-10T14:16:17.365000 | 2018-08-10T14:22:17.365000 | 26.6568892132   | 25.1430625265   | 25.8776950834   | 103.510780334  | 4     | 179.917  | 2018-08-10T14:17:14.179000 | 2018-08-10T14:20:14.096000 |
| 360    | 2018-08-10T14:22:17.365000 | 2018-08-10T14:28:17.365000 | 26.8720032011   | 25.2790297975   | 26.0505586593   | 104.202234637  | 4     | 179.913  | 2018-08-10T14:23:14.171000 | 2018-08-10T14:26:14.084000 |
| 360    | 2018-08-10T14:28:17.365000 | 2018-08-10T14:34:17.365000 | 24.827927328    | 23.4813276327   | 24.2866000725   | 97.14640029    | 4     | 179.974  | 2018-08-10T14:29:14.122000 | 2018-08-10T14:32:14.096000 |
| 360    | 2018-08-10T14:34:17.365000 | 2018-08-10T14:40:17.365000 | 22.8506632801   | 22.3650135956   | 22.5453694458   | 90.1814777833  | 4     | 179.925  | 2018-08-10T14:35:14.177000 | 2018-08-10T14:38:14.102000 |
| 360    | 2018-08-10T14:40:17.365000 | 2018-08-10T14:46:17.365000 | 21.7753769215   | 21.0474228886   | 21.4252907597   | 85.7011630387  | 4     | 179.975  | 2018-08-10T14:41:14.121000 | 2018-08-10T14:44:14.096000 |
| 360    | 2018-08-10T14:46:17.365000 | 2018-08-10T14:52:17.365000 | 20.4402702006   | 19.9792223859   | 20.1486461119   | 80.5945844476  | 4     | 180.138  | 2018-08-10T14:47:14.132000 | 2018-08-10T14:50:14.270000 |
